Loiret,FR,3.5,3.99,2.07
city,country,temp,temp_max,temp_min
La Jacqueminière,FR,2.83,3.44,2.8
city,country,temp,temp_max,temp_min
Quévert,FR,4.24,5.41,3.71
city,country,temp,temp_max,temp_min
Hazebrouck,FR,6.43,7.19,5.59
city,country,temp,temp_max,temp_min
Villeurbanne,FR,-0.46,0.72,-0.92
city,country,temp,temp_max,temp_min
Arrondissement de Brest,FR,3.92,5.1,3.17
city,country,temp,temp_max,temp_min
Amiens,FR,5.73,6.81,5.13
city,country,temp,temp_max,temp_min
Strasbourg,FR,1.26,2.55,-0.41
city,country,temp,temp_max,temp_min
Nanterre,FR,5.1,6.04,4.13
city,country,temp,temp_max,temp_min
Orne,FR,5.3,5.3,5.3
city,country,temp,temp_max,temp_min
Créteil,FR,5.13,6.01,4.1
city,country,temp,temp_max,temp_min
Saint-Denis,FR,5.33,6.13,4.22
city,country,temp,temp_max,temp_min
Clermont-Ferrand,FR,-2.33,-0.5,-2.34
city,country,temp,temp_max,temp_min
Clermont-Ferrand,FR,-2.51,-0.68,-2.53
city,country,temp,temp_max,temp_min
Arrondissement de Tarbes,FR,0.45,5.14,0.26
city,country,temp,temp_max,temp_min
Clermont,FR,5.63,6.25,4.74
city,country,temp,temp_max,temp_min
Perpignan,FR,3.2,5.82,2.94
city,country,temp,temp_max,temp_min
Calvados,FR,5.87,5.88,5
city,country,temp,temp_max,temp_min
Le Mans,FR,3.64,3.94,3.5
city,country,temp,temp_max,temp_min
Le Mans,FR,3.64,3.94,3.5
city,country,temp,temp_max,temp_min
Reims,FR,5.92,5.99,4.53
city,country,temp,temp_max,temp_min
Argentan,FR,5.4,5.4,4.87
city,country,temp,temp_max,temp_min
Arrondissement de Roanne,FR,-1.13,0.55,-2.16
city,country,temp,temp_max,temp_min
Roanne,FR,-0.8,0.97,-1.62
city,country,temp,temp_max,temp_min
Landerneau,FR,4.49,7.55,3.61
city,country,temp,temp_max,temp_min
Arrondissement de Beauvais,FR,5.38,6.14,4.79
city,country,temp,temp_max,temp_min
Ville-d'Avray,FR,4.63,5.57,3.77
city,country,temp,temp_max,temp_min
Fontainebleau,FR,4.76,5.86,3.95
city,country,temp,temp_max,temp_min
Chamalières,FR,-2.59,-0.75,-2.6
city,country,temp,temp_max,temp_min
Saint-Brieuc,FR,4.81,6.85,3.53
city,country,temp,temp_max,temp_min
Nièvre,FR,1.3,1.3,1.3
city,country,temp,temp_max,temp_min
La Seyne-sur-Mer,FR,7.54,8.82,-0.02
city,country,temp,temp_max,temp_min
Coutances,FR,7.24,7.4,4.92
city,country,temp,temp_max,temp_min
Coutances,FR,7.24,7.4,4.92
city,country,temp,temp_max,temp_min
Mondeville,FR,6.38,6.41,5.53
city,country,temp,temp_max,temp_min
Yèvres,FR,4.17,4.49,2.3
city,country,temp,temp_max,temp_min
Saverne,FR,1.69,5.51,-0.73
city,country,temp,temp_max,temp_min
Lunéville,FR,2.98,4.15,0.13
city,country,temp,temp_max,temp_min
Arrondissement du Puy-en-Velay,FR,-3.57,-3.57,-3.57
city,country,temp,temp_max,temp_min
Coubon,FR,-2.6,-2.6,-2.6
city,country,temp,temp_max,temp_min
Coubon,FR,-2.6,-2.6,-2.6
city,country,temp,temp_max,temp_min
Arrondissement de Charleville-Mézières,FR,4.2,5.02,3.83
city,country,temp,temp_max,temp_min
Arrondissement de Bonneville,FR,-8.54,-3.85,-11.87
city,country,temp,temp_max,temp_min
Sotteville,FR,7.39,8.2,7.09
city,country,temp,temp_max,temp_min
Riva-Bella,FR,6.09,6.42,5.3
city,country,temp,temp_max,temp_min
Arrondissement de Saint-Julien-en-Genevois,FR,-2.05,-0.97,-4.93
city,country,temp,temp_max,temp_min
Labenne,FR,7.22,10.58,2.73
city,country,temp,temp_max,temp_min
Bruges,FR,0.17,0.17,0.01
city,country,temp,temp_max,temp_min
Tresses,FR,-0.11,3.98,-0.27
city,country,temp,temp_max,temp_min
Lacanau,FR,0.18,0.18,0.03
city,country,temp,temp_max,temp_min
Arrondissement d'Épinal,FR,0.16,2.62,-2.04
city,country,temp,temp_max,temp_min
Gavray,FR,6.46,7.53,5.14
city,country,temp,temp_max,temp_min
Baron-sur-Odon,FR,5.93,5.94,5.06
city,country,temp,temp_max,temp_min
Arrondissement de Nontron,FR,-0.04,0.8,-0.69
city,country,temp,temp_max,temp_min
Biguglia,FR,10.2,12.01,7.81
city,country,temp,temp_max,temp_min
Rots,FR,6.12,6.13,5.25
city,country,temp,temp_max,temp_min
Arrondissement d'Ajaccio,FR,2.27,7.09,1.99
city,country,temp,temp_max,temp_min
Crépy-en-Valois,FR,5.36,6.03,4.36
city,country,temp,temp_max,temp_min
Virelade,FR,1.17,4.32,0.08
city,country,temp,temp_max,temp_min
Châteauneuf-les-Martigues,FR,0.16,8.62,-2.03
city,country,temp,temp_max,temp_min
Castandet,FR,3.25,3.67,2.27
city,country,temp,temp_max,temp_min
Saint-Laurent-du-Var,FR,6.87,10.97,2.5
city,country,temp,temp_max,temp_min
Vienne,FR,-0.21,1.09,-0.81
city,country,temp,temp_max,temp_min
Bonneuil-en-France,FR,5.36,6.05,4.13
city,country,temp,temp_max,temp_min
Wittenheim,FR,-0.18,1.42,-1.08
city,country,temp,temp_max,temp_min
Vallauris,FR,5.14,10.71,2.24
city,country,temp,temp_max,temp_min
Sin-le-Noble,FR,6.58,7.23,5.45
city,country,temp,temp_max,temp_min
Sens,FR,3.57,5.1,3.45
city,country,temp,temp_max,temp_min
Saint-Priest,FR,-0.69,0.51,-1.14
city,country,temp,temp_max,temp_min
Saint-Pol-sur-Mer,FR,6.46,6.98,5.99
city,country,temp,temp_max,temp_min
Saint-Pierre-des-Corps,FR,3.08,3.57,2.78
city,country,temp,temp_max,temp_min
